"ID","Description","Size","NES","pvalue","p.adjust","ratio"
"GO:0016236","macroautophagy",295,2.15240381259235,1.95932826389801e-06,0.000108311460435629,0.432432432432432
"GO:0038093","Fc receptor signaling pathway",241,2.46578818781783,1.96202308123953e-06,0.000108311460435629,0.524229074889868
"GO:0002758","innate immune response-activating signal transduction",298,1.8951972980019,1.96251594544206e-06,0.000108311460435629,0.413502109704641
"GO:0015980","energy derivation by oxidation of organic compounds",285,2.125431896385,1.96318632994095e-06,0.000108311460435629,0.330275229357798
"GO:0002440","production of molecular mediator of immune response",286,1.91845603493688,1.9638687428687e-06,0.000108311460435629,0.441860465116279
"GO:0072593","reactive oxygen species metabolic process",284,1.97506807120099,1.96500329138051e-06,0.000108311460435629,0.455497382198953
"GO:0019882","antigen processing and presentation",226,2.49360704361598,1.96593429061227e-06,0.000108311460435629,0.474747474747475
"GO:0006733","oxidoreduction coenzyme metabolic process",207,2.13816290203763,1.96600772641036e-06,0.000108311460435629,0.468354430379747
"GO:0002455","humoral immune response mediated by circulating immunoglobulin",150,3.0427412952749,1.96612368884127e-06,0.000108311460435629,0.739130434782609
"GO:0030100","regulation of endocytosis",281,1.99815919389709,1.96613915153231e-06,0.000108311460435629,0.477157360406091
"GO:0036294","cellular response to decreased oxygen levels",217,1.99512658255023,1.96628992551694e-06,0.000108311460435629,0.438709677419355
"GO:0046434","organophosphate catabolic process",248,2.07243936985787,1.96638272100175e-06,0.000108311460435629,0.351063829787234
"GO:0016052","carbohydrate catabolic process",199,2.12865484119568,1.96663408609531e-06,0.000108311460435629,0.393333333333333
"GO:0010324","membrane invagination",135,2.44058445910688,1.9670828358253e-06,0.000108311460435629,0.700934579439252
"GO:0022900","electron transport chain",186,2.1385203438766,1.9672414946314e-06,0.000108311460435629,0.577181208053691
"GO:0016054","organic acid catabolic process",275,1.9498143614722,1.96724923474005e-06,0.000108311460435629,0.464864864864865
"GO:0033209","tumor necrosis factor-mediated signaling pathway",167,1.9982545363382,1.9672569749096e-06,0.000108311460435629,0.463235294117647
"GO:0038094","Fc-gamma receptor signaling pathway",142,2.60693610155334,1.96766729107309e-06,0.000108311460435629,0.641791044776119
"GO:0002526","acute inflammatory response",220,2.60000527928406,1.96774472841187e-06,0.000108311460435629,0.557823129251701
"GO:1901136","carbohydrate derivative catabolic process",192,2.36205852942343,1.96781829952949e-06,0.000108311460435629,0.420634920634921
"GO:0061025","membrane fusion",154,2.29895124900044,1.96805841197367e-06,0.000108311460435629,0.504587155963303
"GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process",215,1.92615369608004,1.96810101868909e-06,0.000108311460435629,0.4
"GO:0000070","mitotic sister chromatid segregation",151,2.0278745757078,1.96815912172867e-06,0.000108311460435629,0.272727272727273
"GO:0038061","NIK/NF-kappaB signaling",183,1.94014615333021,1.96850393700787e-06,0.000108311460435629,0.48936170212766
"GO:0050864","regulation of B cell activation",184,1.94940181722768,1.96852718732898e-06,0.000108311460435629,0.5
"GO:0007033","vacuole organization",163,2.17672069433955,1.96899618605439e-06,0.000108311460435629,0.458904109589041
"GO:0044106","cellular amine metabolic process",129,2.21377183520163,1.96972920162936e-06,0.000108311460435629,0.571428571428571
"GO:0055067","monovalent inorganic cation homeostasis",154,2.23672560044334,1.9708045021058e-06,0.000108311460435629,0.528089887640449
"GO:1902750","negative regulation of cell cycle G2/M phase transition",105,2.14192491757484,1.9708977242044e-06,0.000108311460435629,0.454545454545455
"GO:0002474","antigen processing and presentation of peptide antigen via MHC class I",96,2.50908236063898,1.97123572825333e-06,0.000108311460435629,0.505376344086022
"GO:0070498","interleukin-1-mediated signaling pathway",100,2.21551417116706,1.97155441293024e-06,0.000108311460435629,0.553191489361702
"GO:0031145","anaphase-promoting complex-dependent catabolic process",81,2.42461473800841,1.97230489466906e-06,0.000108311460435629,0.493506493506494
"GO:0009060","aerobic respiration",87,2.36578456322284,1.97253053970408e-06,0.000108311460435629,0.493333333333333
"GO:0032612","interleukin-1 production",115,2.11325203301137,1.97257723133005e-06,0.000108311460435629,0.556962025316456
"GO:0043648","dicarboxylic acid metabolic process",99,2.16294123500272,1.9727640199407e-06,0.000108311460435629,0.545454545454545
"GO:0061418","regulation of transcription from RNA polymerase II promoter in response to hypoxia",77,2.18918294481376,1.97330123429992e-06,0.000108311460435629,0.558823529411765
