"ID","Description","Size","NES_COVID","pvalue_COVID","p.adjust_COVID","ratio_COVID","NES_Abatacept","pvalue_Abatacept","p.adjust_Abatacept","ratio_Abatacept"
"GO:0000070","mitotic sister chromatid segregation",151,2.0278745757078,1.96815912172867e-06,0.000108311460435629,0.272727272727273,-2.24341400154792,1.813555602708e-06,0.000128214216914867,0.382352941176471
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",120,-1.8084537279833,6.51088029136189e-05,0.00147985443444431,0.576271186440678,2.6629359774046,2.20833913022355e-06,0.000128214216914867,0.563025210084034
"GO:0001510","RNA methylation",81,-1.73650880782844,0.0011698230262531,0.0148012091120087,0.279411764705882,1.95279610753088,2.1535897110098e-05,0.000824726968875343,0.358974358974359
"GO:0002385","mucosal immune response",36,-1.78436213728766,0.00543382428945806,0.0467858156330594,0.444444444444444,-1.83693414887159,0.00171212344586958,0.0384657067505365,0.541666666666667
"GO:0002440","production of molecular mediator of immune response",286,1.91845603493688,1.9638687428687e-06,0.000108311460435629,0.441860465116279,-2.75821185731413,1.75834996439341e-06,0.000128214216914867,0.215596330275229
"GO:0002455","humoral immune response mediated by circulating immunoglobulin",150,3.0427412952749,1.96612368884127e-06,0.000108311460435629,0.739130434782609,-3.25253419998285,1.84779013538758e-06,0.000128214216914867,0.612244897959184
"GO:0002474","antigen processing and presentation of peptide antigen via MHC class I",96,2.50908236063898,1.97123572825333e-06,0.000108311460435629,0.505376344086022,-1.78013907408188,0.000251607699195595,0.00752589893156056,0.333333333333333
"GO:0002526","acute inflammatory response",220,2.60000527928406,1.96774472841187e-06,0.000108311460435629,0.557823129251701,-3.09226047368603,1.81012839240687e-06,0.000128214216914867,0.378571428571429
"GO:0002573","myeloid leukocyte differentiation",204,1.65646947114001,0.000285228694400076,0.00496547763608891,0.496688741721854,-1.54090034132444,0.00215803184623036,0.0446131045410753,0.34375
"GO:0006364","rRNA processing",214,-1.71659675135428,4.68562511332083e-05,0.00112974947746126,0.419689119170984,2.18346327420825,2.30810954287891e-06,0.000128214216914867,0.419047619047619
