"ID","Description","Size","NES","pvalue","p.adjust","ratio"
"GO:0140014","mitotic nuclear division",264,-2.22186884161109,1.75089952463078e-06,0.000128214216914867,0.393939393939394
"GO:0038093","Fc receptor signaling pathway",241,-3.02069137528307,1.75606500952665e-06,0.000128214216914867,0.3710407239819
"GO:1901988","negative regulation of cell cycle phase transition",267,-1.81077397597198,1.75679925230624e-06,0.000128214216914867,0.295454545454545
"GO:0002440","production of molecular mediator of immune response",286,-2.75821185731413,1.75834996439341e-06,0.000128214216914867,0.215596330275229
"GO:0045637","regulation of myeloid cell differentiation",251,-1.95871568810587,1.76428141700026e-06,0.000128214216914867,0.38755980861244
"GO:0019882","antigen processing and presentation",226,-1.9715878213965,1.76617908349435e-06,0.000128214216914867,0.368932038834951
"GO:0050864","regulation of B cell activation",184,-2.76453398352492,1.80965669002933e-06,0.000128214216914867,0.326241134751773
"GO:0002526","acute inflammatory response",220,-3.09226047368603,1.81012839240687e-06,0.000128214216914867,0.378571428571429
"GO:0031497","chromatin assembly",165,-2.64289216130471,1.81275015952201e-06,0.000128214216914867,0.401459854014599
"GO:0000070","mitotic sister chromatid segregation",151,-2.24341400154792,1.813555602708e-06,0.000128214216914867,0.382352941176471
"GO:2001251","negative regulation of chromosome organization",146,-2.29708172311457,1.8190781275865e-06,0.000128214216914867,0.37984496124031
"GO:0038094","Fc-gamma receptor signaling pathway",142,-3.18159692858617,1.82047561745982e-06,0.000128214216914867,0.53125
"GO:0008037","cell recognition",215,-2.61109859991231,1.82262238909343e-06,0.000128214216914867,0.328
"GO:0045814","negative regulation of gene expression, epigenetic",136,-2.334731326001,1.82880886021317e-06,0.000128214216914867,0.440677966101695
"GO:1902850","microtubule cytoskeleton organization involved in mitosis",131,-2.21328765197992,1.83092170429516e-06,0.000128214216914867,0.460869565217391
"GO:0002455","humoral immune response mediated by circulating immunoglobulin",150,-3.25253419998285,1.84779013538758e-06,0.000128214216914867,0.612244897959184
"GO:0010324","membrane invagination",135,-2.83691617049269,1.84779013538758e-06,0.000128214216914867,0.418367346938776
"GO:0051225","spindle assembly",108,-2.04086472065584,1.84847325351626e-06,0.000128214216914867,0.443298969072165
"GO:0045652","regulation of megakaryocyte differentiation",79,-2.16785644832905,1.87157618531599e-06,0.000128214216914867,0.432432432432432
"GO:0051304","chromosome separation",90,-2.21506451595961,1.87157618531599e-06,0.000128214216914867,0.297297297297297
"GO:0006335","DNA replication-dependent nucleosome assembly",32,-2.21688857291614,1.94164200781317e-06,0.000128214216914867,0.53125
"GO:0019731","antibacterial humoral response",46,-2.23380640312623,1.95052683729875e-06,0.000128214216914867,0.655172413793103
"GO:0042274","ribosomal small subunit biogenesis",67,2.16263510269639,2.1315598755169e-06,0.000128214216914867,0.569230769230769
"GO:0042273","ribosomal large subunit biogenesis",71,2.21421580026041,2.13509606864761e-06,0.000128214216914867,0.5
"GO:0002181","cytoplasmic translation",100,2.01708971613987,2.17644907979733e-06,0.000128214216914867,0.404255319148936
"GO:0006614","SRP-dependent cotranslational protein targeting to membrane",105,2.74641570714834,2.1795276963482e-06,0.000128214216914867,0.704081632653061
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",120,2.6629359774046,2.20833913022355e-06,0.000128214216914867,0.563025210084034
"GO:0019083","viral transcription",177,2.43948026989562,2.27007541190518e-06,0.000128214216914867,0.494186046511628
"GO:0006413","translational initiation",193,2.22883406080365,2.28196404081064e-06,0.000128214216914867,0.420765027322404
"GO:0006364","rRNA processing",214,2.18346327420825,2.30810954287891e-06,0.000128214216914867,0.419047619047619
